FID	GSID	INDEX	Station_Na	District	Type	Running_No	Lon	Lat	Elevation	latitud	longitud
26	83	1203	Pekarnas	Solukhumbu	PRECIPITATION	t	86.568568	27.44321694	1945	3035601.127	457364.2527
27	86	1204	Aisealukhark	Khotang	PRECIPITATION	t	86.74866194	27.359795	2064	3026311.925	475143.2542
28	88	1206	Okhaldhunga	Okhaldhunga	Synoptic	t	86.504225	27.30812083	1731	3020660.575	450946.006
29	89	1207	Mane	Bhanjyang	Okhaldhunga	PRECIPITATION	86.44435778	27.21472694	1529	3010340.608	444976.4431
30	95	1210	Kurle	Ghat	Khotang	PRECIPITATION	86.42952694	27.13631583	341	3001661.988	443468.2658
31	98	1211	Khotang	Bazar	Khotang	PRECIPITATION	86.84337278	27.02930083	1305	2989690.236	484464.2191
32	100	1212	Phatepur	Saptari	Climatology	t	86.93144806	26.73666694	83	2957271.063	493182.8345
33	113	1219	Salleri	Solukhumbu	Climatology	t	86.586215	27.50511778	2383	3042451.853	459131.0597
34	119	1222	Diktel	Khotang	Climatology	t	86.79188583	27.21252194	1612	3009991.474	479390.8446
35	124	1224	Siruwa	Solukhumbu	PRECIPITATION	t	86.37232778	27.55564194	1614	3048137.16	438033.6665
36	128	1226	Barmajhiya	Saptari	PRECIPITATION	t	86.900046	26.59538083	71	2941625.117	490047.7957
37	130	1227	Gaighat	Udayapur	PRECIPITATION	t	86.69916778	26.801269	179	2964459.659	470100.5041
38	132	1301	Num	Sankhuwasabha	PRECIPITATION	t	87.285198	27.55534778	1494	3047979.971	528155.7146
39	135	1303	Chainpur	(East)	Sankhuwasabha	Climatology	87.31696583	27.29209694	1277	3018828.12	531366.2563
40	137	1304	Pakhribas	Dhankuta	Agrometeorology	t	87.2925	27.04633889	1720	2991601.387	529008.6122
41	139	1305	Leguwa	Ghat	Dhankuta	PRECIPITATION	87.28919444	27.15338889	446	3003457.66	528653.5193
42	141	1306	Muga	Dhankuta	PRECIPITATION	t	87.24444444	27.0500025	1457	2991997.016	524241.9084
43	143	1307	Dhankuta	Dhankuta	Synoptic	t	87.34595556	26.98321944	1192	2984623.669	534329.263
44	145	1308	Mul	Ghat	Dhankuta	PRECIPITATION	87.31969	26.93175	286	2978916.067	531737.3274
45	147	1309	Tribeni	(Dhankuta)	Dhankuta	PRECIPITATION	87.15986	26.91424278	146	2976946.923	515872.5658
46	157	1314	Terhathum	Terhathum	Climatology	t	87.53619	27.12304	1525	3000176.537	553140.6271
47	161	1316	Chatara	Sunsari	PRECIPITATION	t	87.159165	26.820435	105	2966556.932	515816.6028
48	163	1317	Chepuwa	Sankhuwasabha	PRECIPITATION	t	87.41234	27.75331194	2039	3069944.049	540634.4613
49	172	1321	Tumlingtar	Sankhuwasabha	PRECIPITATION	t	87.20433333	27.30127778	477	3019821.78	520218.6882
50	174	1322	Machhuwaghat	Dhankuta	PRECIPITATION	t	87.15472222	26.93805556	168	2979583.751	515359.2075
51	182	1325	Dingla	Bhojpur	PRECIPITATION	t	87.14629	27.35279	1169	3025519.449	514468.6311
52	189	1327	Khadbari	Sankhuwasabha	Climatology	t	87.20438389	27.39106194	1064	3029766.738	520207.3949
53	195	1403	Lungthung	Taplejung	PRECIPITATION	t	87.79385889	27.54731194	1807	3047308.574	578379.4076
54	197	1404	Taplethok	Taplejung	PRECIPITATION	t	87.77305389	27.48921194	1388	3040859.659	576365.3353
