Temperature_Type,Region,Season,1962 to 1971,1972 to 1981,1982 to 1991, 1992 to 2001,2002 to 2011,2012 to 2021,1962 - 2022
Tmin,High Mountain,annual,-0.035373902,0.043817939,0.058066377,-0.004281664,0.012651664,0.119062086,-0.007907713
Tmin,Hill,Monsoon,-0.032703934,-0.006567808,-0.038236761,-0.024471728,0.015883567,0.077635584,-0.012848865
Tmin,Hill,Postmonsoon,-0.132751251,-0.092971809,0.103094142,0.050073662,0.105499339,0.214440899,0.00103925
Tmin,Hill,Premonsoon,-0.030973062,-0.042540165,0.066456318,-0.005619216,0.098311889,-0.012466153,0.00738421
Tmin,Hill,Winter,-0.164637209,-0.067367192,0.217201673,-0.001816724,0.048967459,0.098277896,-0.021730054
Tmin,Hill,annual,-0.090266364,-0.052361743,0.087128843,0.004541499,0.067165563,0.094472056,-0.006538865
Tmin,Koshi Basin,Monsoon,-0.017181478,-0.025717536,-0.039364613,-0.029242374,-0.085857421,0.209076104,-0.026595958
Tmin,Koshi Basin,Postmonsoon,-0.120783368,-0.104030231,0.156557035,0.017393213,-0.045061089,0.352154223,-0.007197466
Tmin,Koshi Basin,Premonsoon,-0.012412668,0.008230968,-0.003953145,-0.019142287,0.029552339,0.109011621,-0.002647373
Tmin,Koshi Basin,Winter,-0.132105048,-0.003079084,0.186210069,-0.040428935,-0.097044946,0.19935005,-0.036477838
Tmin,Koshi Basin,annual,-0.070620641,-0.031148971,0.074862336,-0.017855096,-0.049602779,0.217398,-0.018229659
Tmin,Middle Mountain,Monsoon,-0.021290363,-0.009576833,-0.05208462,-0.02586155,-0.13490277,0.507236853,-0.023420298
Tmin,Middle Mountain,Postmonsoon,-0.123951337,-0.085331968,0.071050505,0.038139702,0.051473693,0.790285629,0.012822507
Tmin,Middle Mountain,Premonsoon,-0.017325714,-0.005208449,-0.021057413,-0.008057578,0.102336188,0.229905855,0.016356318
Tmin,Middle Mountain,Winter,-0.140716503,-0.020096525,0.164759429,-0.012831966,-0.079059356,0.42222314,-0.010339872
Tmin,Middle Mountain,annual,-0.075820979,-0.030053444,0.040666975,-0.002152848,-0.015038061,0.487412869,-0.001145336
Tmin,Siwalik,Monsoon,-0.021290363,-0.103685918,-0.007602757,-0.043864598,-0.269243342,0.108383927,-0.059234355
Tmin,Siwalik,Postmonsoon,-0.123951337,-0.219385754,0.366345376,-0.064674449,-0.444374672,0.189848377,-0.044287495
Tmin,Siwalik,Premonsoon,-0.017325714,-0.005208449,-0.081995465,-0.071850698,-0.19527177,0.186139657,-0.042099562
Tmin,Siwalik,Winter,-0.140716503,-0.020096525,0.16749964,-0.160528725,-0.457188034,0.166175743,-0.102661375
Tmin,Siwalik,annual,-0.075820979,-0.087094162,0.111061699,-0.085229617,-0.341519455,0.162636926,-0.062070697
Tmin,Tarai,Monsoon,-0.021290363,-0.009576833,-0.042280789,-0.02586155,-0.01932599,0.230533597,-0.021515845
Tmin,Tarai,Postmonsoon,-0.123951337,-0.085331968,0.117157042,0.038139702,0.053557201,0.349126819,-0.00445138
Tmin,Tarai,Premonsoon,-0.017325714,-0.005208449,0.032978976,-0.008057578,0.07769237,0.112413607,0.001132198
Tmin,Tarai,Winter,-0.140716503,-0.020096525,0.201695923,-0.012831966,0.002981988,0.201550219,-0.029107708
Tmin,Tarai,annual,-0.075820979,-0.030053444,0.077387788,-0.002152848,0.028726392,0.22340606,-0.013485684
