year,season,station,lat,long,elevation,Tmin,Tmax,Tavg
1968,Postmonsoon,1206,27.30812083,86.504225,1731.0,10.552459016393444,20.809836065573773,15.681147540983606
1968,Postmonsoon,1212,26.730538,86.934812,101.0,20.562321796404948,32.98228718251366,26.7723044894593
1968,Postmonsoon,1218,27.83333,86.76667,3857.0,-3.8516782035950525,8.56828718251366,2.358304489459304
1968,Postmonsoon,1219,27.50511778,86.586215,2383.0,5.729321796404947,18.14928718251366,11.939304489459303
1968,Postmonsoon,1222,27.21252194,86.79188583,1612.0,10.740821796404946,23.16078718251366,16.950804489459305
1968,Postmonsoon,1225,27.81667,86.71667,3700.0,-2.831178203595053,9.588787182513663,3.378804489459305
1968,Postmonsoon,1303,27.29209694,87.31696583,1277.0,12.918321796404946,25.33828718251366,19.128304489459303
1968,Postmonsoon,1304,27.046316,87.292473,1720.0,10.038821796404946,22.45878718251366,16.248804489459303
1968,Postmonsoon,1307,26.98321944,87.34595556,1192.0,13.470821796404946,25.89078718251366,19.6808044894593
1968,Postmonsoon,1314,27.12304,87.53619,1525.0,11.306321796404946,23.72628718251366,17.5163044894593
1968,Postmonsoon,1316,26.82044,87.15917,105.0,20.536321796404945,32.95628718251366,26.746304489459302
1968,Postmonsoon,1327,27.39106194,87.20438389,1064.0,14.302821796404947,26.722787182513663,20.512804489459306
1968,Postmonsoon,1401,27.68333,87.78333,3119.0,1.554625944003451,12.999607727868852,7.277116835936152
1968,Postmonsoon,1405,27.35861111,87.67,1744.0,9.895081967213114,19.677049180327867,14.786065573770493
1968,Postmonsoon,1419,27.14367389,87.765595,1157.0,13.698321796404947,26.11828718251366,19.908304489459304
1968,Postmonsoon,9999,27.961111,86.808889,5200.0,-12.101516205349439,5.46784544262295,-3.3168353813632443
1968,Premonsoon,1016,27.94456111,85.59513611,2574.0,6.1354293422196795,18.14813014456522,12.14177974339245
1968,Premonsoon,1024,27.61611667,85.56550278,1543.0,12.83692934221968,24.849630144565218,18.84327974339245
1968,Premonsoon,1036,27.6451338,85.620881,857.0,17.29592934221968,29.308630144565214,23.302279743392447
1968,Premonsoon,1103,27.63044722,86.23211389,1877.0,10.024411423913044,21.597972701086956,15.8111920625
1968,Premonsoon,1123,27.39470278,86.06123333,497.0,19.63592934221968,31.648630144565217,25.64227974339245
1968,Premonsoon,1124,27.63333333,86.13333333,1755.0,11.458929342219678,23.471630144565214,17.465279743392447
1968,Premonsoon,1201,27.81667,86.71667,3450.0,1.0341682173913043,10.90625952173913,5.970213869565217
1968,Premonsoon,1206,27.30812083,86.504225,1731.0,12.533325858352402,22.851619908695653,17.69247288352403
1968,Premonsoon,1212,26.730538,86.934812,101.0,22.209929342219677,34.222630144565215,28.216279743392448
