year,regions,lat,long,elevation,Tmin,Tmax,Tavg
1964,Hill,27.61611667,85.56550278,1543.0,3.6372505,29.857438,18.828321694504364
1964,Hill,27.63044722,86.23211389,1877.0,1.4662504999999997,27.686437999999995,16.65732169450436
1964,Hill,27.63333333,86.13333333,1755.0,2.2592504999999994,28.479438,17.450321694504364
1964,Hill,27.6451338,85.620881,857.0,8.0962505,34.316438,23.28732169450436
1964,Middle Mountain,27.50511778,86.586215,2383.0,-1.8227495000000005,24.397438,13.368321694504361
1964,Middle Mountain,27.94456111,85.59513611,2574.0,-3.0642495000000003,23.155938000000003,12.126821694504361
1964,Siwalik,26.730538,86.934812,101.0,13.010250499999998,39.230438,28.20132169450436
1964,Tarai,26.82044,87.15917,105.0,12.984250499999998,39.204438,28.17532169450436
1965,High Mountain,27.68333,87.78333,3119.0,-9.5,20.0,7.011387981927421
1965,High Mountain,27.81667,86.71667,3450.0,-7.799236342105263,17.5609755,5.865625785907234
1965,High Mountain,27.81667,86.71667,3700.0,-9.424236342105264,15.9359755,4.240625785907234
1965,High Mountain,27.83333,86.76667,3857.0,-10.444736342105262,14.9154755,3.2201257859072343
1965,High Mountain,27.961111,86.808889,5200.0,-15.839698,12.050652,-1.812893836097092
1965,Hill,26.98321944,87.34595556,1192.0,6.877763657894737,32.237975500000005,20.542625785907234
1965,Hill,27.046316,87.292473,1720.0,3.445763657894736,28.8059755,17.11062578590723
1965,Hill,27.12304,87.53619,1525.0,4.713263657894736,30.0734755,18.378125785907233
1965,Hill,27.14367389,87.765595,1157.0,7.105263657894736,32.465475500000004,20.770125785907233
1965,Hill,27.21252194,86.79188583,1612.0,4.147763657894736,29.5079755,17.812625785907233
1965,Hill,27.29209694,87.31696583,1277.0,6.325263657894736,31.685475500000003,19.990125785907235
1965,Hill,27.30812083,86.504225,1731.0,1.7,27.6,15.947260273972603
1965,Hill,27.35861111,87.67,1744.0,1.4,27.1,15.663219414611872
1965,Hill,27.39106194,87.20438389,1064.0,7.709763657894737,33.069975500000005,21.374625785907234
1965,Hill,27.39470278,86.06123333,497.0,11.395263657894734,36.7554755,25.060125785907235
1965,Hill,27.61611667,85.56550278,1543.0,4.5962636578947365,29.9564755,18.261125785907236
1965,Hill,27.63044722,86.23211389,1877.0,-1.7,27.7854755,15.782655095121363
1965,Hill,27.63333333,86.13333333,1755.0,3.2182636578947363,28.578475500000003,16.883125785907232
1965,Hill,27.6451338,85.620881,857.0,9.055263657894736,34.4154755,22.720125785907236
1965,Middle Mountain,27.50511778,86.586215,2383.0,-0.8637363421052635,24.4964755,12.801125785907233
1965,Middle Mountain,27.94456111,85.59513611,2574.0,-2.105236342105264,23.2549755,11.559625785907233
1965,Siwalik,26.730538,86.934812,101.0,13.969263657894736,39.3294755,27.63412578590723
1965,Tarai,26.82044,87.15917,105.0,13.943263657894736,39.3034755,27.60812578590723
1966,High Mountain,27.68333,87.78333,3119.0,-13.6,20.4,6.595941299653929
1966,High Mountain,27.81667,86.71667,3450.0,-7.740589600000002,18.3,6.66142384531603
1966,High Mountain,27.81667,86.71667,3700.0,-9.5775896,15.899642,4.518431052251863
1966,High Mountain,27.83333,86.76667,3857.0,-10.5980896,14.879142,3.4979310522518627
1966,High Mountain,27.961111,86.808889,5200.0,-16.542198,11.994452,-1.8651777053592888
1966,Hill,26.98321944,87.34595556,1192.0,6.724410399999999,32.201642,20.820431052251863
1966,Hill,27.046316,87.292473,1720.0,3.2924103999999987,28.769641999999997,17.38843105225186
1966,Hill,27.12304,87.53619,1525.0,4.559910399999999,30.037142,18.655931052251862
1966,Hill,27.14367389,87.765595,1157.0,6.9519104,32.42914199999999,21.04793105225186
1966,Hill,27.21252194,86.79188583,1612.0,3.994410399999999,29.471641999999992,18.090431052251862
1966,Hill,27.29209694,87.31696583,1277.0,6.171910399999999,31.649142,20.26793105225186
1966,Hill,27.30812083,86.504225,1731.0,2.7,29.3,17.27500191167508
1966,Hill,27.35861111,87.67,1744.0,2.9,29.5,16.41621427137227
1966,Hill,27.39106194,87.20438389,1064.0,7.556410399999999,33.033642,21.652431052251863
1966,Hill,27.39470278,86.06123333,497.0,11.241910399999998,36.719142,25.33793105225186
1966,Hill,27.61611667,85.56550278,1543.0,4.4429104,29.920142,18.53893105225186
1966,Hill,27.63044722,86.23211389,1877.0,-6.7,29.2,15.04068269085316
1966,Hill,27.63333333,86.13333333,1755.0,3.0649104,28.542142,17.160931052251865
1966,Hill,27.6451338,85.620881,857.0,8.9019104,34.379142,22.99793105225186
1966,Middle Mountain,27.50511778,86.586215,2383.0,-1.0170896000000014,24.460142,13.078931052251862
1966,Middle Mountain,27.94456111,85.59513611,2574.0,-2.2585896000000005,23.218642,11.837431052251862
1966,Siwalik,26.730538,86.934812,101.0,13.815910399999998,39.293142,27.911931052251862
1966,Tarai,26.82044,87.15917,105.0,13.7899104,39.267142,27.885931052251863
1967,High Mountain,27.68333,87.78333,3119.0,-13.5,20.1596004,5.2955087114708
1967,High Mountain,27.81667,86.71667,3450.0,-8.4,19.4,5.8184713704109585
1967,High Mountain,27.81667,86.71667,3700.0,-11.513100543859649,16.3831004,3.8131680630329257
1967,High Mountain,27.83333,86.76667,3857.0,-12.533600543859649,15.362600400000002,2.7926680630329255
1967,High Mountain,27.961111,86.808889,5200.0,-17.908248,13.053501999999996,-1.6241912896899786
1967,Hill,26.98321944,87.34595556,1192.0,4.78889945614035,32.6851004,20.115168063032925
1967,Hill,27.046316,87.292473,1720.0,1.35689945614035,29.2531004,16.683168063032923
1967,Hill,27.12304,87.53619,1525.0,2.6243994561403503,30.5206004,17.950668063032925
1967,Hill,27.14367389,87.765595,1157.0,5.016399456140349,32.9126004,20.342668063032924
1967,Hill,27.21252194,86.79188583,1612.0,2.05889945614035,29.9551004,17.385168063032925
1967,Hill,27.29209694,87.31696583,1277.0,4.23639945614035,32.1326004,19.562668063032923
