Station,Column,Slope,Intercept,Trend,P-Value,Z-Value
1303,Tavg,-0.019222612681423907,20.384288217429024,decreasing,0.00025934479344824624,-3.6528509406813616
1304,Tmax,-0.03436903523062538,22.61409978736886,decreasing,5.954614423764326e-08,-5.420158721181373
1304,Tmin,0.01863803525792001,11.615684517008852,increasing,3.458679045387214e-07,5.096567155737709
1304,Tavg,-0.007143542043336381,17.17814939364843,no trend,0.05769753245135312,-1.8979889896214912
1307,Tmax,-0.014127205232935678,26.028414134612056,decreasing,0.028944391851311924,-2.1842430667447323
1307,Tmin,0.00140322782173522,15.060714426900047,no trend,0.6950259788068638,0.39204362736443915
1307,Tavg,-0.00607068312160064,20.4760445821455,no trend,0.2110053168615713,-1.250805858734163
1314,Tmax,-0.0036506450357318915,23.929589510524007,no trend,0.4897267261047742,-0.6907435339278214
1314,Tmin,-0.0013876948504437103,12.913862290206895,no trend,0.7604249340820253,-0.3049228212834527
1314,Tavg,-0.0007484216742613753,18.34225902043332,no trend,0.8763697127035874,-0.15557286800176157
1316,Tmax,-0.002627628767964127,33.10336646803566,no trend,0.5627706487287689,-0.578731068966553
1316,Tmin,-0.015452864409706153,22.26555522849641,decreasing,0.0014111765423781009,-3.1923552513961475
1316,Tavg,-0.006036661451160219,27.558241505512576,no trend,0.18501172170041302,-1.3254808353750087
1327,Tmax,-0.0357893867777872,27.50946051623642,decreasing,2.595485382173024e-09,-5.955329387107433
1327,Tmin,0.0025493788951536584,15.795689325642385,no trend,0.4742166370533538,0.7156351928081033
1327,Tavg,-0.015425815361834357,21.411042583725113,decreasing,0.00011134889704766948,-3.8644300411637573
1401,Tmax,0.02225465816548951,12.50750002973851,increasing,1.6143356169173728e-05,4.312479901008831
1401,Tmin,-0.009233519861362238,2.441288694948262,no trend,0.13368631336038628,-1.4997224475369817
1401,Tavg,0.009317226229114139,7.4003462268252065,increasing,0.009123237675514373,2.607401267709524
1405,Tmax,0.034919953521729205,19.79584401729894,increasing,3.3952990641239467e-08,5.519725356702501
1405,Tmin,0.01482791571044793,11.425870405347478,increasing,4.003900159643692e-06,4.6111798075722135
1405,Tavg,0.023960269959854476,15.612466685222632,increasing,9.658313504523619e-08,5.333037915100387
1419,Tmax,0.01053904030208586,26.06535912666041,increasing,0.0499702995025364,1.9602181368221958
1419,Tmin,-0.002662183774559069,15.410176774788876,no trend,0.5627706487287689,-0.578731068966553
1419,Tavg,0.0029992550802990688,20.71724403335472,no trend,0.46656399025505335,0.7280810222482442
9999,Tmax,0.004004720428201925,6.362724189893668,increasing,0.000380453049890761,3.5532843051602345
9999,Tmin,0.0030694587209929916,-9.794771737938389,no trend,0.0966094106685722,1.6615182302588136
9999,Tavg,0.0032822298852513685,-1.7226581862475197,increasing,0.00254353505086069,3.0181136392341745
